,title,region,version,crc32,status,Project Lunar Version,notes,EXTRA FILES,,,,,,,,,,,,,,,,,
,Bubsy II,"USA, Europe",,F8BEFF56,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Bubsy in - Claws Encounters of the Furred Kind,"USA, Europe",,3E30D365,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Buck Rogers - Countdown to Doomsday,"USA, Europe",,44E3BFFF,Doesn't Work,1.0.7251.40474,Black Screen,,,,,,,,,,,,,,,,,,
,Budokan - The Martial Spirit,Europe,,97ADD5BD,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Budokan - The Martial Spirit,USA,,ACD9F5FC,Doesn't Work,1.0.7251.40474,E4: Please Shutdown,,,,,,,,,,,,,,,,,,
,Bugs Bunny in Double Trouble,USA,,365305A2,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Bugs Bunny in Double Trouble,Europe,,CEC0A0BB,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bulls versus Blazers and the NBA Playoffs,"USA, Europe",,D4E4B4E8,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Bulls vs Lakers and the NBA Playoffs,"USA, Europe",,E56023A0,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Burning Force,Europe,,776FF6FF,Has Problems,1.0.7251.17961,Bad Artifacting onscreen; Inaccurate emulation,,,,,,,,,,,,,,,,,,
,Burning Force,Japan,,0C1DEB47,Has Problems,1.0.7251.41832,The game works but has graphical glitches,,,,,,,,,,,,,,,,,,
,Burning Force,USA,,BDC8F02C,Has Problems,1.0.7251.40474,The game works but has graphical glitches,,,,,,,,,,,,,,,,,,
,Burning Force,Japan,h1C,B1C804B0,Has Problems,1.0.25.41117,Graphical Glitching in background,,,,,,,,,,,,,,,,,,
,Burning Force,USA,h1C,FBA6C82E,Has Problems,1.0.25.41117,Graphical Glitching in background,,,,,,,,,,,,,,,,,,
,Burning Force,USA,h2C,1E7E3B9F,Has Problems,1.0.25.41117,Graphical Glitching in background,,,,,,,,,,,,,,,,,,
,Burning Force,USA,h3C,C4608E1A,Has Problems,1.0.25.41117,Graphical Glitching in background,,,,,,,,,,,,,,,,,,
,Cadash,"USA, Asia, Korea",,13BDF374,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Caesar no Yabou,Japan,,69796E93,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Caesar no Yabou II,Japan,,4F327B3A,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Caesars Palace,USA,,8FDAA9BB,Doesn't Work,1.0.7251.41832,Freeze on SEGA logo,,,,,,,,,,,,,,,,,,
,Caesars Palace,USA,h1C,FF0961B3,Doesn't Work,1.0.25.41117,Freeze on SEGA logo,,,,,,,,,,,,,,,,,,
,Caesars Palace,USA,o1,A5035607,Doesn't Work,1.0.25.41117,Freeze on SEGA logo,,,,,,,,,,,,,,,,,,
,Cal Ripken Jr. Baseball,USA,,9B1C96C0,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Caliber.50,USA,,44F4FA05,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,California Games,"USA, Europe",,43B1B672,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Cannon Fodder,Europe,,AD217654,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Captain America and the Avengers,Europe,,43225612,Works,1.0.7251.41832,Image is downscaled ,,,,,,,,,,,,,,,,,,
,Captain America and the Avengers,USA,,E0639CA2,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Captain Lang,Japan,,61BA8199,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Captain Planet and the Planeteers,Europe,,7672EFA5,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Captain Planet and the Planeteers,Asia,,BF2CBD3A,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Castle of Illusion Starring Mickey Mouse,"USA, Europe",,BA4E9FD0,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Castlevania - Bloodlines,USA,,FB1EA6DF,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Castlevania - The New Generation,Europe,,4DD4E4A5,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Centurion - Defender of Rome,"USA, Europe",,21283B14,Has Problems,1.0.7251.41832,A bit of flickering after the EA logo,,,,,,,,,,,,,,,,,,
,Centurion - Defender of Rome,"USA, Europe",Alt 1,A7C83919,Has Problems,1.0.7251.41832,A bit of flickering after the EA logo,,,,,,,,,,,,,,,,,,
,Centurion - Defender of Rome,"USA, Europe",h1C,053458E1,Doesn't Work,1.0.25.41117,Red screen on start,,,,,,,,,,,,,,,,,,
,Centurion - Defender of Rome,"USA, Europe",o1,0BD3AA36,Works,1.0.25.41117,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Chakan,"USA, Europe",,046A48DE,Works,,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Chakan,"USA, Europe",Sega Channel,77B7E85F,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Chameleon Kid,Japan,,50217C80,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Champions World Class Soccer,World,,883E33DB,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Championship Bowling,USA,,1BF92520,Doesn't Work,1.0.7251.41832,While the game is bootable and playable it will lockup on the second set of pins everytime,,,,,,,,,,,,,,,,,,
,Championship Bowling,USA,h1C,3558013E,Doesn't Work,1.0.25.41117,While the game is bootable and playable it will lockup on the second set of pins everytime,,,,,,,,,,,,,,,,,,
,Championship Bowling,USA,h2C,09431240,Doesn't Work,1.0.25.41117,While the game is bootable and playable it will lockup on the second set of pins everytime,,,,,,,,,,,,,,,,,,
,Championship Bowling,USA,h3C,90045918,Doesn't Work,1.0.25.41117,While the game is bootable and playable it will lockup on the third set of pins everytime,,,,,,,,,,,,,,,,,,
,Championship Pool,USA,,253512CF,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Championship Pro-Am,USA,,B496DE28,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,"Chaos Engine, The",Europe,,BD9EECF4,Has Problems,1.0.7251.41832,The screenshakes everytime you move,,,,,,,,,,,,,,,,,,
,"Chaos Engine, The",Europe,o1,A6E1D401,Has Problems,1.0.25.41117,Background jitter,,,,,,,,,,,,,,,,,,
,"Chaos Engine, The",Europe,h1C,574363CC,Has Problems,1.0.25.41117,Force PAL Region or it will region lock,,,,,,,,,,,,,,,,,,
,Chase H.Q. II,USA,,F39E4BF2,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chavez II,Mexico,,5BC0DBB8,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Cheese Cat-Astrophe Starring Speedy Gonzales,Europe,,FF634B28,Works,1.0.7251.41832,Force Europe Region (PAL) or it will Region lock,,,,,,,,,,,,,,,,,,
,Chelnov,Japan,,B2FE74D8,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chester Cheetah - Too Cool to Fool,USA,,250E3EC3,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chester Cheetah - Wild Wild Quest,USA,,B97B735D,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chi Chi's Pro Challenge Golf,USA,,9C3973A4,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chibi Maruko-chan - Wakuwaku Shopping,Japan,,91A144B8,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chiki Chiki Boys,"Japan, Korea",,06918C17,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chiki Chiki Boys,"USA, Europe",,813A7D62,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Chou Kyuukai Miracle Nine,Japan,,6D8C2206,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chou Touryuu Retsuden - Dino Land,Japan,,81F939DE,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chuck Rock,Europe,,7CD40BEA,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chuck Rock,USA,,F8AC454A,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chuck Rock II,Japan,,BFD24BE8,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chuck Rock II - Son of Chuck,Europe,,1ADE9488,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Chuck Rock II - Son of Chuck,USA,,408B1CDB,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Classic Collection,Europe,,73F948B1,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,ClayFighter,USA,,B12C1BC1,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,ClayFighter,Europe,,1AAF7707,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Cliffhanger,USA,,9CBF44D3,Doesn't Work,1.0.7251.41832,Game resets itself when trying to start the game,,,,,,,,,,,,,,,,,,
,Cliffhanger,Europe,,EB5E0B28,Doesn't Work,1.0.7251.41832,Game resets itself when trying to start the game,,,,,,,,,,,,,,,,,,
,Cliffhanger,Europe,,35BFF1FD,Doesn't Work,1.0.25.41117,Game resets itself when trying to start the game,,,,,,,,,,,,,,,,,,
,Clue,USA,,7753A296,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Coach K College Basketball,USA,,67C309C6,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,College Football USA 96,USA,,B9075385,Works with patch,1.0.39,,,,,,,,,,,,,,,,,,,
,College Football USA 96,USA,f1,8DE81DB7,Doesn't Work,1.0.25.41117,Black Screen,,,,,,,,,,,,,,,,,,
,College Football USA 96,USA,h1C,9906706B,Doesn't Work,1.0.25.41117,Black Screen,,,,,,,,,,,,,,,,,,
,College Football USA 96,USA,h2C,E7855C1A,Doesn't Work,1.0.25.41117,Red Screen,,,,,,,,,,,,,,,,,,
,College Football USA 96,USA,o1,2819B47D,Works,1.0.29.31333,,,,,,,,,,,,,,,,,,,
,College Football USA 97,USA,,2EBB90A3,Works with patch,1.0.39,,,,,,,,,,,,,,,,,,,
,College Football USA 97 - The Road to New Orleans,USA,h3C,CE22221B,Doesn't Work,1.0.29.31333,Redscreen,,,,,,,,,,,,,,,,,,
,College Football USA 97 - The Road to New Orleans,USA,h1C,70399F3C,Doesn't Work,1.0.25.41117,Red Screen,,,,,,,,,,,,,,,,,,
,College Football USA 97 - The Road to New Orleans,USA,h2C,92EF5986,Doesn't Work,1.0.25.41117,Red Screen,,,,,,,,,,,,,,,,,,
,College Football USA 97 - The Road to New Orleans,USA,h4C,EF2ED366,Doesn't Work,1.0.29.31333,Redscreen,,,,,,,,,,,,,,,,,,
,College Football's National Championship,USA,,172C5DBB,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,College Football's National Championship II,USA,,65B64413,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,College Slam,USA,,96A42431,Doesn't Work,1.0.7251.41832,Blue lines on screen on boot,,,,,,,,,,,,,,,,,,
,College Slam,USA,f1,90DAFF4C,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,College Slam,USA,f1+C,7682F05B,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,Columns,Japan,,03163D7A,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Columns,"USA, Europe",,D783C244,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Columns,USA,Sega Channel,7EEC1A45,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Columns III,USA,,DC678F6D,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Columns III - Taiketsu! Columns World,"Japan, Korea",,CD07462F,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Combat Cars,"USA, Europe",,E439B101,Has Problems,1.0.7251.41832,No Sound,,,,,,,,,,,,,,,,,,
,Combat Cars,"USA, Europe",f1,A087246D,Has Problems,1.0.25.41117,No Sound,,,,,,,,,,,,,,,,,,
,Combat Cars,"USA, Europe",f1+1C,621DCABD,Has Problems,1.0.25.41117,No Sound,,,,,,,,,,,,,,,,,,
,Combat Cars,"USA, Europe",f1+2C,103093A5,Has Problems,1.0.25.41117,No Sound,,,,,,,,,,,,,,,,,,
,Combat Cars,"USA, Europe",o1,DF20D0EE,Has problems,1.0.29.31333,No audio,,,,,,,,,,,,,,,,,,
,Combat Cars,"USA, Europe",f1,014EB6B0,Has problems,1.0.29.31333,No audio,,,,,,,,,,,,,,,,,,
,Comix Zone,Europe,,1318E923,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Comix Zone,Japan,,7A6027B8,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Comix Zone,USA,,17DA0354,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Comix Zone,USA,Sega Smash Pack,2BB02A7D,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Comix Zone,USA,Sega Channel,C77DB9E1,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Comix Zone,USA,Virtual Console,E45A15F4,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Contra - Hard Corps,"USA, Korea",,C579F45E,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Contra - The Hard Corps,Japan,,2AB26380,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Cool Spot,Europe,,5F09FA41,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Cool Spot,USA,,F024C1A1,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Cool Spot,"Japan, Korea",,E869EFB1,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Corporation,Europe,,A80D18AA,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Cosmic Spacehead,"USA, Europe",,C593D31C,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Cosmic Spacehead,Europe,Rev 1,CB89E605,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Crack Down,Japan,,538AAA5D,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Crack Down,Europe,,D012A47A,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Crack Down,USA,,B9CE9051,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Crayon Shin-chan - Arashi o Yobu Enji,Japan,,97FC42D2,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,CrossFire,USA,,CC73F3A9,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Crude Buster,Japan,,AFFB4B00,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Crue Ball,Japan,,514C53E2,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Crue Ball - Heavy Metal Pinball,"USA, Europe",,4B195FC0,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Crusader of Centy,USA,,41858F6F,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Crying - Aseimei Sensou,Japan,,4ABA1D6A,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Crystal's Pony Tale,USA,,6CF7A4DF,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Curse,Japan,,A4FBF9A9,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Cutie Suzuki no Ringside Angel,Japan,,13795DCA,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,CutThroat Island,"USA, Europe",,EBABBC70,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Cyber Police - ESWAT,Japan,,87B636A2,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Cyber-Cop,USA,,01E719C8,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Cyberball,World,,76120E96,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Cyborg Justice,"USA, Europe",,AB0D1269,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Daffy Duck in Hollywood,Europe,,1FDC66B0,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Dahna,Korea,,10829EA1,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Dahna - Megami Tanjou,Japan,,4602584F,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Daikoukai Jidai,Japan,,5A652458,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Daikoukai Jidai II,Japan,,E040F0DA,Has Problems,1.0.7251.17961,"Game works, but B Button in Character Creation resets game; Crashed Sega 3 Times; All on Game Exit with H/W Reset Button",,,,,,,,,,,,,,,,,,
,Daikoukai Jidai II,China,,9739DCA8,Unplayable,1.0.25.41117,Very garbled everything,,,,,,,,,,,,,,,,,,
,Daikoukai Jidai II,Japan,h1C,D417C7BD,Unplayable,1.0.25.41117,"Not garbled, but B button resets game",,,,,,,,,,,,,,,,,,
,Daimakaimura,Japan,,5659F379,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Daimakaimura ~ Ghouls'n Ghosts,World,Rev A,D31BD910,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Daimakaimura ~ Ghouls'n Ghosts,World,Rev B,4F2561D5,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Daimakaimura ~ Ghouls'n Ghosts,World, Rev A (Alt 1),4552A3DE,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Daisenpuu ~ Twin Hawk,"Japan, Europe",,A2EC8C67,Has Problems,1.0.7251.17961,No Sound,,,,,,,,,,,,,,,,,,
,Dangerous Seed,Japan,,A2990031,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Darius II,Japan,,25DFE62A,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Dark Castle,"USA, Europe",,0464ACA4,Doesn't Work,1.0.7251.17961,Black Screens after EA Logo,,,,,,,,,,,,,,,,,,
,Darwin 4081,"Japan, Korea",,7A33B0CB,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Dashin' Desperadoes,USA,,DCB76FB7,Has Problems,1.0.7251.17961,"Graphical Glitching in lower portion of screen, level 1",,,,,,,,,,,,,,,,,,
,David Crane's Amazing Tennis,USA,,9177088C,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,David Robinson Basketball,Japan,,56164B00,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,David Robinson's Supreme Court,"USA, Europe",,512B7599,Works,1.0.7251.17961,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Davis Cup Tennis,Japan,,802CD123,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Davis Cup Tennis ~ Davis Cup World Tour,"USA, Europe",,894686F0,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Daze Before Christmas,Australia,,B95E25C9,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Deadly Moves,USA,,35CBD237,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,"Death and Return of Superman, The",USA,,982242D3,Has Problems,1.0.7251.41832,Bad music emulation,,,,,,,,,,,,,,,,,,
,"Death and Return of Superman, The",Europe,,CFC440E8,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Death Duel,USA,,A9804DCC,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,DEcapAttack,"USA, Europe, Korea",,73DC0DD8,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Demolition Man,"USA, Europe",,5FF71877,Has Problems,1.0.7251.41832,Force USA (NTSC) | Music missing in top down levels,,,,,,,,,,,,,,,,,,
,Desert Demolition Starring Road Runner and Wile E. Coyote,"USA, Europe",,C287343D,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Desert Strike - Return to the Gulf,"USA, Europe",,67A9860B,Has Problems,"1.0.7251.17961, 1.0.7251.41832","Crashes after first briefing UNLESS you spam start through those screens, then you get to gameplay.","Spam START isnt a real solution. Set as ""Doesnt work""",,,,,,,,,,,,,,,,,
,Desert Strike - Return to the Gulf,"USA, Europe",h1C,D85EDD9F,Doesn't Work,1.0.25.41117,Red Sceen on boot,,,,,,,,,,,,,,,,,,
,Desert Strike - Return to the Gulf,"USA, Europe",p1,CBB74B08,Doesn't Work,1.0.25.41117,Crashes after first briefing,,,,,,,,,,,,,,,,,,
,Desert Strike - Return to the Gulf,"USA, Europe",p2,31B29D6F,Doesn't Work,1.0.25.41117,Crashes after first briefing,,,,,,,,,,,,,,,,,,
,Desert Strike - Wangan Sakusen ~ Desert Strike,"Japan, Korea",,1E740145,Has Problems,"1.0.7251.17961, 1.0.7251.41832","Crashes after first briefing UNLESS you spam start through those screens, then you get to gameplay.","Spam START isnt a real solution. Set as ""Doesnt work""",,,,,,,,,,,,,,,,,
,Devil Crash MD,Japan,,4C4CAAD8,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Devilish - The Next Possession,USA,,D3F300AC,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dick Tracy,World,,EF887533,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,"Dick Vitale's 'Awesome, Baby!' College Hoops",USA,,1312CF22,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dino Dini's Soccer,Europe,,4608F53A,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dino Land,USA,,5FE351B8,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,"Dinosaur's Tale, A",USA,,70155B5B,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,"Disney Collection, The - QuackShot Starring Donald Duck + Castle of Illusion Starring Mickey Mouse",Europe,,ADFDE883,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,DJ Boy,Europe,,860E749A,Works,1.0.7251.41832,Image is downscaled ,,,,,,,,,,,,,,,,,,
,DJ Boy,Japan,,202ABAA8,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,DJ Boy,USA,,DC9F02DB,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Donald in Maui Mallard,Europe,Rev A,B2DD857F,Works,1.0.7251.41832,Force Europe Region (PAL) or it will Region lock,,,,,,,,,,,,,,,,,,
,Donald in Maui Mallard,Brazil,,5F9B9A48,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dong Gu Ri Te Chi Jak Jeon,Korea,,E32F0B1C,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Doom Troopers,USA,,11194414,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Doraemon - Yume Dorobou to 7 Nin no Gozans,Japan,,EEED1130,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Double Clutch,Europe,,D98C623C,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Double Dragon 3 - The Arcade Game,"USA, Europe",,B36AB75C,Works,,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Double Dragon II - The Revenge,Japan,,A8BFDBD6,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Double Dragon V - The Shadow Falls,USA,,27E59E35,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Double Dribble - The Playoff Edition,USA,,8352B1D0,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dr. Robotnik's Mean Bean Machine,Europe,,70680706,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dr. Robotnik's Mean Bean Machine,USA,,C7CA517F,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dragon - The Bruce Lee Story,Europe,,FDEED51D,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dragon - The Bruce Lee Story,USA,,EFE850E5,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dragon Ball Z - Buyuu Retsuden,Japan,,AF8F3371,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dragon Ball Z - L'Appel du Destin,France,,F035C737,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dragon Slayer - Eiyuu Densetsu,Japan,,01BC1604,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dragon Slayer - Eiyuu Densetsu II,Japan,,46924DC3,Works,1.0.7251.41832,Force Japan Region (NTSC) or it will Region lock,,,,,,,,,,,,,,,,,,
,Dragon's Eye Plus - Shanghai III,Japan,,81F0C3CF,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dragon's Fury,"USA, Europe",,58037BC6,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Dragon's Revenge,"USA, Europe",,841EDBC0,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Dragon's Revenge,Japan,,D8D2EFD7,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dream Team USA,Japan,,E2E21B72,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Duke Nukem 3D,Brazil,,6BD2ACCB,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dune - The Battle for Arrakis,USA,,4DEA40BA,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dune II - Kampf um den Wuestenplaneten,Germany,,39790728,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dune II - The Battle for Arrakis,Europe,,B58AE71D,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dungeons & Dragons - Warriors of the Eternal Sun,"USA, Europe",,AF4A9CD7,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Dyna Brothers,Japan,,360C1B20,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dyna Brothers 2,Japan,,47E0A64E,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dyna Brothers 2 Special,Japan,Virtual Console,BA3554BC,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dynamite Duke,World,,39D01C8C,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Dynamite Duke,World,Rev A,246F0BDA,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Dynamite Headdy,Japan,,D03CDB53,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Dynamite Headdy,"USA, Europe",,3DFEEB77,Works,1.0.7251.41832,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,EA Hockey,Europe,,9BFC279C,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,EA Hockey,Japan,,9DCDC894,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,EA Sports Double Header,Europe,,A0B54CBC,Works,1.0.7251.41832,Downscaled screen on EA Hockey,,,,,,,,,,,,,,,,,,
,Earnest Evans,USA,,A243816D,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Earthworm Jim,Europe,,1C07B337,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
