,title,region,version,crc32,status,Project Lunar Version,notes,EXTRA FILES,,,,,,,,,,,,,,,,,
,After Burner II,Japan,h1C,E8FC1F30,Doesn't Work,1.0.25.41117,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,Japan,p1,9AEA1D27,Doesn't Work,1.0.25.41117,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,Japan,p2,E6E23111,Doesn't Work,1.0.25.41117,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,"USA, Europe",h1C,348D53E4,Doesn't Work,1.0.7270.34467,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,"USA, Europe",h2C,255099B9,Doesn't Work,1.0.7270.34467,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,"USA, Europe",h3C,6BA08158,Doesn't Work,1.0.7270.34467,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,"USA, Europe",h4C,22839984,Doesn't Work,1.0.7270.34467,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,"USA, Europe",h5C,BCDF56DB,Doesn't Work,1.0.7270.34467,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,Air Buster,USA,,F3D65BAA,Works,,,,,,,,,,,,,,,,,,,,
,Air Diver,Japan,,9E2D5B91,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Air Diver,USA,,2041885E,Works,,,,,,,,,,,,,,,,,,,,
,Air Management - Oozora ni Kakeru,Japan,,B3DB0C71,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Air Management II - Koukuuou o Mezase,Japan,,4582817B,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Al Michaels Announces HardBall III,"USA, Europe",,A4F2F011,Doesn't Work,1.0.7251.40474,Black screen,,,,,,,,,,,,,,,,,,
,Aladdin,Europe,,D1845E8F,Works,,,,,,,,,,,,,,,,,,,,
,Aladdin,Japan,,FB5AACF0,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Aladdin,USA,,ED427EA9,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Aladdin,USA,Final Cut,DD66B3FA,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Alex Kidd - Cheongong Maseong,Korea,,5B0678FB,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Alex Kidd - Tenkuu Majou,Japan,,8A5ED856,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Alex Kidd in the Enchanted Castle,Europe,,778A0F00,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Alex Kidd in the Enchanted Castle,USA,,47DBA0AC,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Alien 3,"USA, Europe",,A3B00D6E,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Alien 3,"USA, Europe",Rev A,B327FD1B,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Alien Soldier,Europe,,0496E06C,Works with patch,1.0.31.34721,Force Europe (PAL) or it will Region lock,,,,,,,,,,,,,,,,,,
,Alien Soldier,Japan,,90FA1539,Works,1.0.7251.40474,Force Japan Region (NTSC) or it will Region lock,,,,,,,,,,,,,,,,,,
,Alien Soldier,USA,Virtual Console,9B1A1D7F,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Alien Storm,World,,F5AC8DE5,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Alisia Dragoon,Europe,,28165BD1,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Alisia Dragoon,Japan,,4D476722,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Alisia Dragoon,USA,,D28D5C40,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Altered Beast,"USA, Europe",,154D59BB,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,American Gladiators,USA,,9952FA85,Doesn't Work,1.0.7251.40474,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,American Gladiators,USA,h1C,476A4FCA,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,Andre Agassi Tennis,Europe,,224256C7,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Andre Agassi Tennis,USA,,E755DD51,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Animaniacs,Europe,,92B6F255,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
